R	S_avg	S_std	S_avg_smooth	S_sum
4.826789999999999736e+02	8.866666666666667140e+01	4.849284025044888580e+01	8.711583710407285253e+01	5.320000000000000000e+02
4.856800000000000068e+02	8.533333333333332860e+01	4.237399621885521128e+01	8.738521870286623994e+01	5.120000000000000000e+02
4.886789999999999736e+02	8.833333333333332860e+01	4.648177659637758552e+01	8.829864253393711238e+01	5.300000000000000000e+02
4.916779999999999973e+02	8.666666666666667140e+01	4.002776813940819522e+01	8.879426847662189459e+01	5.200000000000000000e+02
4.946750000000000114e+02	9.100000000000000000e+01	3.705401462729781059e+01	8.993906485671240603e+01	5.460000000000000000e+02
4.976720000000000255e+02	8.666666666666667140e+01	3.595676416043146872e+01	9.063951734540017924e+01	5.200000000000000000e+02
5.006669999999999732e+02	9.466666666666667140e+01	4.122566622330748487e+01	9.246576168929159678e+01	5.680000000000000000e+02
5.036619999999999777e+02	9.433333333333332860e+01	3.396894006131025634e+01	9.358491704374107201e+01	5.660000000000000000e+02
5.066549999999999727e+02	9.466666666666667140e+01	3.935592571505451076e+01	9.431734539969883713e+01	5.680000000000000000e+02
5.096480000000000246e+02	9.333333333333332860e+01	3.965966324729559744e+01	9.409351432880896482e+01	5.600000000000000000e+02
5.126390000000000100e+02	9.866666666666667140e+01	4.708384955469220046e+01	9.442383107089040095e+01	5.920000000000000000e+02
5.156299999999999955e+02	9.433333333333332860e+01	4.450343307606229359e+01	9.379306184012116887e+01	5.660000000000000000e+02
5.186169999999999618e+02	9.600000000000000000e+01	4.374166587286466523e+01	9.307963800905025664e+01	5.760000000000000000e+02
5.216059999999999945e+02	8.533333333333332860e+01	3.950808637341080498e+01	9.193695324283606851e+01	5.120000000000000000e+02
5.245940000000000509e+02	8.933333333333332860e+01	4.577723840027438484e+01	9.129230769230815667e+01	5.360000000000000000e+02
5.275779999999999745e+02	9.000000000000000000e+01	4.277070648625450389e+01	9.019245852187076196e+01	5.400000000000000000e+02
5.305639999999999645e+02	9.333333333333332860e+01	4.489493908622168306e+01	8.958250377073953530e+01	5.600000000000000000e+02
5.335489999999999782e+02	8.666666666666667140e+01	4.178782385123951570e+01	8.854358974359021772e+01	5.200000000000000000e+02
5.365299999999999727e+02	8.900000000000000000e+01	4.148493702538308270e+01	8.868838612368071495e+01	5.340000000000000000e+02
5.395130000000000337e+02	9.100000000000000000e+01	4.511836285445945549e+01	8.884253393665206033e+01	5.460000000000000000e+02
5.424930000000000518e+02	8.700000000000000000e+01	4.253234063627347439e+01	8.879276018099594125e+01	5.220000000000000000e+02
5.454719999999999800e+02	8.600000000000000000e+01	4.241069047618379528e+01	8.787511312217240800e+01	5.160000000000000000e+02
5.484519999999999982e+02	9.000000000000000000e+01	4.443722163532129343e+01	8.719879336349970345e+01	5.400000000000000000e+02
5.514279999999999973e+02	8.600000000000000000e+01	4.043101120015014516e+01	8.680180995475159023e+01	5.160000000000000000e+02
5.544039999999999964e+02	8.933333333333332860e+01	4.405552052681807851e+01	8.671885369532473931e+01	5.360000000000000000e+02
5.573809999999999718e+02	8.533333333333332860e+01	3.486481830664768466e+01	8.637073906485717600e+01	5.120000000000000000e+02
5.603550000000000182e+02	8.200000000000000000e+01	3.773592452822641263e+01	8.651644042232322818e+01	4.920000000000000000e+02
5.633279999999999745e+02	8.766666666666667140e+01	4.456331326201956244e+01	8.623650075414826688e+01	5.260000000000000000e+02
5.662999999999999545e+02	8.666666666666667140e+01	4.296768811819205069e+01	8.614479638009095197e+01	5.200000000000000000e+02
5.692709999999999582e+02	8.733333333333332860e+01	4.394946593026535453e+01	8.571794871794918436e+01	5.240000000000000000e+02
5.722409999999999854e+02	8.566666666666667140e+01	4.391532256007640456e+01	8.549502262443485279e+01	5.140000000000000000e+02
5.752100000000000364e+02	8.833333333333332860e+01	4.450343307606229359e+01	8.609683257918598542e+01	5.300000000000000000e+02
5.781779999999999973e+02	8.600000000000000000e+01	4.378736499646139890e+01	8.613363499245897970e+01	5.160000000000000000e+02
5.811459999999999582e+02	8.200000000000000000e+01	4.366539438350083913e+01	8.711764705882399085e+01	4.920000000000000000e+02
5.841119999999999663e+02	8.966666666666667140e+01	4.866780820578994593e+01	8.791704374057360383e+01	5.380000000000000000e+02
5.870769999999999982e+02	8.633333333333332860e+01	4.167199965871034806e+01	8.845490196078478107e+01	5.180000000000000000e+02
5.900410000000000537e+02	8.933333333333332860e+01	3.952495695408436660e+01	8.920844645550575081e+01	5.360000000000000000e+02
5.930049999999999955e+02	9.600000000000000000e+01	4.893533147600684430e+01	9.085761689291149423e+01	5.760000000000000000e+02
5.959650000000000318e+02	8.766666666666667140e+01	3.774328490679575054e+01	9.269381598793412991e+01	5.260000000000000000e+02
5.989260000000000446e+02	1.013333333333333286e+02	5.333749983725230237e+01	9.512911010558120495e+01	6.080000000000000000e+02
6.018869999999999436e+02	9.400000000000000000e+01	4.372642221815089414e+01	9.759366515837155021e+01	5.640000000000000000e+02
6.048440000000000509e+02	9.200000000000000000e+01	4.284857057125709900e+01	9.899939668175014162e+01	5.520000000000000000e+02
6.078020000000000209e+02	1.023333333333333286e+02	4.648177659637759973e+01	1.008745098039220949e+02	6.140000000000000000e+02
6.107580000000000382e+02	1.063333333333333286e+02	4.307229065445930161e+01	1.018256410256415734e+02	6.380000000000000000e+02
6.137140000000000555e+02	1.043333333333333286e+02	4.194308312728360022e+01	1.020901960784319016e+02	6.260000000000000000e+02
6.166680000000000064e+02	1.043333333333333286e+02	4.159193297851025051e+01	1.025309200603323632e+02	6.260000000000000000e+02
6.196230000000000473e+02	1.030000000000000000e+02	4.634292466673490196e+01	1.018974358974364378e+02	6.180000000000000000e+02
6.225739999999999554e+02	9.933333333333332860e+01	4.868492808069271405e+01	1.022452488687788161e+02	5.960000000000000000e+02
6.255249999999999773e+02	1.003333333333333286e+02	3.761943941929786206e+01	1.003321266968331145e+02	6.020000000000000000e+02
6.284769999999999754e+02	9.733333333333332860e+01	4.175590443943892893e+01	9.848868778280595393e+01	5.840000000000000000e+02
